SampleID,Sequencing_Set,16S_18S,Project,Location,Site,Exp_Day,Type_1,Type_2,Type_3,Form,pH,Volume,DNA_conc,Nep_Sar,DNAext_set
10Ng.14,2,18S,Experiment,Tom_Swamp,10,14,pitcher,Nepenthes,gracilis,squat,NA,NA,1.2,Nep_exp,NA
10Ng.21,2,16S,Experiment,Tom_Swamp,10,21,pitcher,Nepenthes,gracilis,squat,3,NA,10.876,Nep_exp,NA
10Nr.21,2,both,Experiment,Tom_Swamp,10,21,pitcher,Nepenthes,rafflesiana,squat,1.5,NA,8.99,Nep_exp,NA
10Spb.21,2,both,Experiment,Tom_Swamp,10,21,pitcher,Sarracenia,purpurea-bog,squat,4,NA,0.562,Sar_exp,NA
10Spp.21,2,both,Experiment,Tom_Swamp,10,21,pitcher,Sarracenia,purpurea-pot,squat,5,NA,3.24,Sar_exp,NA
11Ng.o.21,2,both,Experiment,Tom_Swamp,11,21,pitcher,Nepenthes,gracilis,squat,2.75,NA,4.684,Nep_exp,NA
11Ng.y.21,2,both,Experiment,Tom_Swamp,11,21,pitcher,Nepenthes,gracilis,squat,3,NA,1.164,Nep_exp,NA
11Spb.21,2,both,Experiment,Tom_Swamp,11,21,pitcher,Sarracenia,purpurea-bog,squat,4.5,NA,49.9,Sar_exp,NA
11Spp.21,2,both,Experiment,Tom_Swamp,11,21,pitcher,Sarracenia,purpurea-pot,squat,5,NA,7.92,Sar_exp,NA
12Ng.21,2,both,Experiment,Tom_Swamp,12,21,pitcher,Nepenthes,gracilis,squat,3,NA,0.529,Nep_exp,NA
12Spb.21,2,both,Experiment,Tom_Swamp,12,21,pitcher,Sarracenia,purpurea-bog,squat,4,NA,14.6,Sar_exp,NA
12Spp.14,2,both,Experiment,Tom_Swamp,12,14,pitcher,Sarracenia,purpurea-pot,squat,NA,NA,3.779,Sar_exp,NA
13Na.b.21,2,both,Experiment,Tom_Swamp,13,21,pitcher,Nepenthes,ampullaria,squat,4,NA,5.7,Nep_exp,NA
13Na.p.21,2,both,Experiment,Tom_Swamp,13,21,pitcher,Nepenthes,ampullaria,squat,4.5,NA,13.6,Nep_exp,NA
13Spb.21,2,both,Experiment,Tom_Swamp,13,21,pitcher,Sarracenia,purpurea-bog,squat,4,NA,9.56,Sar_exp,NA
14Na.21,2,both,Experiment,Tom_Swamp,14,21,pitcher,Nepenthes,ampullaria,squat,5.5,NA,26.2,Nep_exp,NA
14Ng.21,2,both,Experiment,Tom_Swamp,14,21,pitcher,Nepenthes,gracilis,squat,3,NA,1.19,Nep_exp,NA
15Na.21,2,both,Experiment,Tom_Swamp,15,21,pitcher,Nepenthes,ampullaria,squat,4.5,NA,29.603,Nep_exp,NA
15Ng.21,2,both,Experiment,Tom_Swamp,15,21,pitcher,Nepenthes,gracilis,squat,3.5,NA,3.853,Nep_exp,NA
15Spb.21,2,both,Experiment,Tom_Swamp,15,21,pitcher,Sarracenia,purpurea-bog,squat,4.5,NA,2.8,Sar_exp,NA
16Na.21,2,both,Experiment,Tom_Swamp,16,21,pitcher,Nepenthes,ampullaria,squat,3,NA,14.14,Nep_exp,NA
16Ng.21,2,both,Experiment,Tom_Swamp,16,21,pitcher,Nepenthes,gracilis,squat,7,NA,5.341,Nep_exp,NA
16Spb.b.21,2,both,Experiment,Tom_Swamp,16,21,pitcher,Sarracenia,purpurea-bog,squat,5,NA,1.879,Sar_exp,NA
16Spb.y.14,2,18S,Experiment,Tom_Swamp,16,14,pitcher,Sarracenia,purpurea-bog,squat,NA,NA,1.264,Sar_exp,NA
17Bog.49,2,both,Experiment,Tom_Swamp,17,49,envmt,Bog,bog,NA,5,NA,0.785,Other,NA
17Gtp.49,2,18S,Experiment,Tom_Swamp,17,49,tube,Tube,glasstube-prey,squat,5,NA,6.53,Gtp,NA
17Na.49,2,both,Experiment,Tom_Swamp,17,49,pitcher,Nepenthes,ampullaria,squat,5,NA,2.81,Nep_exp,NA
17Spb.49,2,both,Experiment,Tom_Swamp,17,49,pitcher,Sarracenia,purpurea-bog,squat,4.75,NA,0.766,Sar_exp,NA
17Spp.49,2,both,Experiment,Tom_Swamp,17,49,pitcher,Sarracenia,purpurea-pot,squat,5,NA,4.146,Sar_exp,NA
18Gt.49,2,both,Experiment,Tom_Swamp,18,49,tube,Tube,glasstube,squat,5,NA,10.8,Gt,NA
18Gtp.49,2,both,Experiment,Tom_Swamp,18,49,tube,Tube,glasstube-prey,squat,7.5,NA,55.7,Gtp,NA
18Na.49,2,both,Experiment,Tom_Swamp,18,49,pitcher,Nepenthes,ampullaria,squat,5,NA,1.1,Nep_exp,NA
18Spb.49,2,both,Experiment,Tom_Swamp,18,49,pitcher,Sarracenia,purpurea-bog,squat,4.75,NA,0.967,Sar_exp,NA
18Spp.49,2,both,Experiment,Tom_Swamp,19,49,pitcher,Sarracenia,purpurea-pot,squat,5,NA,1.005,Sar_exp,NA
19Gt.14,2,16S,Experiment,Tom_Swamp,19,14,tube,Tube,glasstube,squat,5,NA,0.229,Gt,NA
19Gtp.49,2,both,Experiment,Tom_Swamp,19,49,tube,Tube,glasstube-prey,squat,5,NA,1.09,Gtp,NA
19Na.49,2,both,Experiment,Tom_Swamp,19,49,pitcher,Nepenthes,ampullaria,squat,5,NA,0.995,Nep_exp,NA
19Spb.w.49,2,16S,Experiment,Tom_Swamp,19,49,pitcher,Sarracenia,purpurea-bog,squat,4.75,NA,1.2,Sar_exp,NA
19Spb.y.49,2,both,Experiment,Tom_Swamp,19,49,pitcher,Sarracenia,purpurea-bog,squat,5,NA,1.82,Sar_exp,NA
19Spp.49,2,both,Experiment,Tom_Swamp,19,49,pitcher,Sarracenia,purpurea-pot,squat,4.75,NA,9.52,Sar_exp,NA
20Gtp.49,2,both,Experiment,Tom_Swamp,20,49,tube,Tube,glasstube-prey,squat,5,NA,11.1,Gtp,NA
20Na.49,2,both,Experiment,Tom_Swamp,20,49,pitcher,Nepenthes,ampullaria,squat,5,NA,3.45,Nep_exp,NA
20Spb.y.49,2,both,Experiment,Tom_Swamp,20,49,pitcher,Sarracenia,purpurea-bog,squat,4.5,NA,5.94,Sar_exp,NA
20Spp.b.49,2,both,Experiment,Tom_Swamp,20,49,pitcher,Sarracenia,purpurea-pot,squat,4.75,NA,12.2,Sar_exp,NA
21Gtp.49,2,both,Experiment,Tom_Swamp,21,49,tube,Tube,glasstube-prey,squat,5,NA,3.23,Gtp,NA
21Na.o.49,2,both,Experiment,Tom_Swamp,21,49,pitcher,Nepenthes,ampullaria,squat,5,NA,9.25,Nep_exp,NA
21Na.y.49,2,both,Experiment,Tom_Swamp,21,49,pitcher,Nepenthes,ampullaria,squat,5,NA,31.85,Nep_exp,NA
21Nb.49,2,both,Experiment,Tom_Swamp,21,49,pitcher,Nepenthes,bicalcarata,squat,5,NA,6.27,Nep_exp,NA
21Spb.p.49,2,both,Experiment,Tom_Swamp,21,49,pitcher,Sarracenia,purpurea-bog,squat,5,NA,0.654,Sar_exp,NA
21Spp.49,2,both,Experiment,Tom_Swamp,21,49,pitcher,Sarracenia,purpurea-pot,squat,4.75,NA,2.64,Sar_exp,NA
22Bog.48,2,both,Experiment,Tom_Swamp,22,48,envmt,Bog,bog,NA,4.5,NA,2.72,Other,NA
22Gtp.48,2,both,Experiment,Tom_Swamp,22,48,tube,Tube,glasstube-prey,squat,5,NA,3.21,Gtp,NA
22Na.35,2,both,Experiment,Tom_Swamp,22,35,pitcher,Nepenthes,ampullaria,squat,4.75,NA,0.656,Nep_exp,NA
22Nb.35,2,both,Experiment,Tom_Swamp,22,35,pitcher,Nepenthes,bicalcarata,squat,4.75,NA,0.641,Nep_exp,NA
22Nr.48,2,both,Experiment,Tom_Swamp,22,48,pitcher,Nepenthes,rafflesiana,squat,4.25,NA,3.148,Nep_exp,NA
22Spb.48,2,both,Experiment,Tom_Swamp,22,48,pitcher,Sarracenia,purpurea-bog,squat,4.75,NA,1.211,Sar_exp,NA
23Bog.48,2,18S,Experiment,Tom_Swamp,23,48,envmt,Bog,bog,NA,4.5,NA,4.77,Other,NA
23Gt.48,2,both,Experiment,Tom_Swamp,23,48,tube,Tube,glasstube,squat,4.75,NA,0.725,Gt,NA
23Gtp.48,2,both,Experiment,Tom_Swamp,23,48,tube,Tube,glasstube-prey,squat,4.75,NA,48.9,Gtp,NA
23Na.15,2,both,Experiment,Tom_Swamp,23,15,pitcher,Nepenthes,ampullaria,squat,5.25,NA,1.075,Nep_exp,NA
23Nb.15,2,both,Experiment,Tom_Swamp,23,15,pitcher,Nepenthes,bicalcarata,squat,4.75,NA,0.462,Nep_exp,NA
23Nr.35,2,both,Experiment,Tom_Swamp,23,35,pitcher,Nepenthes,rafflesiana,squat,2.75,NA,0.758,Nep_exp,NA
23Spb.48,2,both,Experiment,Tom_Swamp,23,48,pitcher,Sarracenia,purpurea-bog,squat,4.75,NA,2.205,Sar_exp,NA
24Bog.48,2,18S,Experiment,Tom_Swamp,24,48,envmt,Bog,bog,NA,4.5,NA,0.302,Other,NA
24Gt.48,2,both,Experiment,Tom_Swamp,24,48,tube,Tube,glasstube,squat,5,NA,2.55,Gt,NA
